Unnamed: 0,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age,property_type_encoded
2510,613488,Industrial,113302,84104.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,,0
2511,611579,Industrial,55381,92081.0,2,1,0,1,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Conventional wood frame and wood decking ""]",1,0,2.0,1.0,,0
2512,557230,Industrial,31500,8360.0,1,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking""]",0,0,1.0,1.0,,0
2513,559401,Office,33360,23805.0,3,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2.0,6.0,,1
2514,323763,Industrial,76,80229.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,2.0,1.0,,0
2515,524950,Office,79240,22408.0,3,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,2.0,1.0,,1
2516,593088,Industrial,113302,84104.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,,0
2517,590866,Office,181203,19123.0,1,0,0,0,"[""Steel-framed""]","[""Cast-in-place concrete with concrete decking""]",1,0,6.0,44.0,102.0,1
2518,573472,Office,23220,10536.0,1,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,3.0,1.0,,1
2519,324182,Office,63656,84043.0,2,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping"", ""Open-web steel joists with steel decking""]",1,0,3.0,7.0,,1
2520,251009,Industrial,46,2766.0,1,0,0,0,"[""Concrete masonry unit load bearing walls with steel framing""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2.0,2.0,,0
2521,492998,Industrial,12000,13212.0,1,0,0,0,"[""Light-gauge steel studs, CMU center core""]","[""No upper floors present""]",1,0,1.0,,,0
2522,477930,Office,54104,65201.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,1.0,1.0,,1
2523,476142,Industrial,32184,98032.0,2,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,2.0,,0
2524,415172,Office,37,87106.0,4,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2.0,,,1
2525,320500,Office,86,94103.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Open-web steel joists with precast decking""]",1,0,4.0,12.0,,1
2526,371133,Industrial,33,60173.0,2,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2528,396454,Office,542,60606.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,28.0,54.0,,1
2530,446265,Office,32000,7102.0,1,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,6.0,,,1
2531,291554,Office,30,76135.0,4,1,0,1,"[""Concrete masonry unit load bearing walls with steel framing""]","[""Wood-framing with wood decking and concrete topping""]",1,0,3.0,,,1
2532,407514,Industrial,44,94070.0,2,0,0,0,"[""Precast concrete"", ""Steel-framed""]","[""Steel-framed with steel decking""]",1,0,2.0,1.0,,0
2533,489898,Office,304437,20002.0,2,0,0,0,"[""Cast-in-place concrete""]","[""Cast-in-place concrete with concrete decking""]",1,0,12.0,5.0,,1
2534,313192,Industrial,543,29708.0,3,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,2.0,2.0,,0
2535,345874,Office,18211,78240.0,4,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking""]",0,0,2.0,1.0,,1
2536,448086,Office,5648,17112.0,1,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2537,379785,Office,219,94105.0,2,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,10.0,13.0,,1
2538,265853,Office,110,90025.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,7.0,1.0,,1
2539,204526,Office,10,92101.0,2,1,1,1,"Concrete masonry unit load bearing walls with steel framing,Wood-framed","[""Wood-framing with wood decking""]",1,0,2.0,6.0,,1
2540,623339,Industrial,145154,98198.0,2,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""No upper floors present""]",1,0,1.0,1.0,8.0,0
2541,623400,Industrial,20592,91605.0,2,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,54.0,0
2542,541475,Industrial,28288,15024.0,1,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,0.0,,0
2543,380070,Industrial,44,60515.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,8.0,,0
2544,391860,Industrial,25000,33069.0,3,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Precast concrete with concrete decking""]",1,0,1.0,1.0,,0
2545,306915,Industrial,40,18109.0,1,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,1.0,1.0,,0
2547,494050,Industrial,75612,33610.0,3,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2548,207084,Industrial,83963,76115.0,4,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking""]",0,0,2.0,,,0
2549,458047,Office,3900,64068.0,2,0,0,0,"[""Light-gauge steel studs, CMU center core""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2550,420270,Office,21,30901.0,3,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,2.0,3.0,,1
2551,320041,Office,107020,95670.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,2.0,2.0,,1
2552,452485,Industrial,99876,6512.0,1,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1.0,8.0,,0
2553,345885,Office,43,77345.0,4,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2.0,1.0,,1
2554,492194,Office,30000,83406.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,3.0,1.0,,1
2555,249578,Office,14310,90004.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with steel framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,3.0,,,1
2556,413792,Industrial,126,85353.0,4,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2557,517580,Office,16116,46819.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2558,522015,Office,272142,10018.0,1,0,0,0,"[""Cast-in-place concrete"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,21.0,5.0,,1
2559,544423,Industrial,195652,8648.0,1,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,1.0,2.0,,0
2560,206104,Office,184,53203.0,2,0,0,0,"[""Steel-framed""]","[""Cast-in-place concrete with concrete decking""]",1,0,22.0,,,1
2561,422615,Office,64,95670.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,2.0,2.0,,1
2562,500772,Office,29984,7054.0,1,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,3.0,17.0,,1
2564,392168,Industrial,95,61032.0,2,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,,0
2565,208765,Office,87,46250.0,2,0,0,0,"[""Steel-framed""]","[""Cast-in-place concrete with concrete decking""]",1,0,5.0,10.0,,1
