,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age
3142,484631,Industrial,280621,77039,SW,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""No upper floors present""]",1,0,One-story,,
3143,482632,Office,16696,89052,W,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1,1,
3144,485758,Office,4163,20176,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
3145,481255,Office,234553,10038,NE,0,0,0,"[""Cast-in-place concrete"", ""Steel-framed""]","[""Cast-in-place concrete with concrete decking""]",1,0,29,44,
3146,482725,Office,5000,66048,MW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1,1,
3147,477980,Industrial,251980,60502,MW,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""No upper floors present""]",1,0,1,2,
3148,443287,Industrial,107,75050,SW,1,0,1,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Conventional wood frame and wood decking ""]",1,0,One,One,
3149,316992,Office,61896,77065,SW,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Three,27,
3150,252357,Office,28,25701,SE,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Open-web steel joists with precast decking""]",1,0,Four,Seven,
3152,428911,Industrial,302,40229,SE,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,Two,1,
3153,426263,Industrial,76,40217,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,1,One,
3154,339633,Office,200,70002,SE,0,0,0,"[""Cast-in-place concrete"", ""Steel-framed""]","[""Cast-in-place concrete with concrete decking""]",1,0,14,,
3155,410715,Industrial,24,92121,W,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1 with mezzanine,1,
3156,389137,Industrial,28,48326,MW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Steel-framed with steel decking""]",1,0,1,1,
3157,192579,Office,48,75243,SW,0,0,0,Steel-framed,Steel-framed with steel decking and concrete topping,1,0,Two-story for central suite (11333) and one-story for other suites,Six,
3158,417790,Office,240,85009,SW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""No upper floors present""]",1,0,one,2,
3159,315145,Industrial,184,94534,W,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Open-web steel joists with steel decking""]",1,0,One ,One ,
